,url,listing_type,name,price,bedrooms,bathrooms,floor_area,location,amenities,region,locality,parking_space,is_furnished,lat,lng,category_Detached,category_Duplex,category_Flats,category_Mansion,category_Semi-Detached,category_Townhouse,condition_New,condition_Renovated,condition_Used
199,https://tonaton.com/a-MfYFNdCgdE8lw2ieKyya0EyCGaQDyNWg-furnished-2bdrm-apartment-in-obom-road-kasoa-for-rent.html,rentals,"Furnished 2bdrm Apartment in Obom Road, Kasoa for rent",700.0,2,1,200.0,"Greater Accra, Kasoa","24-hour Electricity,Apartment,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Kasoa,0,2,5.5344155,-0.4252737,0,0,1,0,0,0,0,0,1
200,https://tonaton.com/a-MfYFNdCgmYwqxfffQbwN7zWgRrt0wa6h-4bdrm-duplex-in-east-legon-hills-adjiriganor-for-rent.html,rentals,"4bdrm Duplex in East Legon Hills, Adjiriganor for rent",8500.0,4,4,100.0,"Greater Accra, Adjiriganor","24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Wi-Fi",Greater Accra,Adjiriganor,0,1,5.6510376,-0.1354586,0,1,0,0,0,0,1,0,0
201,https://tonaton.com/a-MfYFNdCgvmbFTQcGwwzMW6lLvzajiSmo-furnished-1bdrm-apartment-in-items-propatys-school-junction-for-rent.html,rentals,"Furnished 1bdrm Apartment in Items Propatys, School Junction for rent",4550.0,1,1,25.0,"Greater Accra, Ashaley Botwe, Ashaley Botwe School Junction","24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",Greater Accra,Ashaley Botwe,0,2,5.6772176,-0.1251477,0,0,1,0,0,0,1,0,0
202,https://tonaton.com/a-MfYFNdCgf2vRCXKAeKIV6DtTZd7sbZdf-4bdrm-house-in-school-junction-adjiriganor-for-rent.html,rentals,"4bdrm House in School Junction, Adjiriganor for rent",26000.0,4,4,5000.0,"Greater Accra, Adjiriganor","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe",Greater Accra,Adjiriganor,0,0,5.6510376,-0.1354586,1,0,0,0,0,0,1,0,0
203,https://tonaton.com/a-MfYFNdCgEm54A3OmZsqeArXhIYlSv0fD-2bdrm-apartment-in-kwabenya-for-rent.html,rentals,2bdrm Apartment in Kwabenya for rent,2500.0,2,2,111.0,"Greater Accra, Ga West Municipal, Kwabenya","24-hour Electricity,Kitchen Cabinets,Pop Ceiling,Tiled Floor",Greater Accra,Ga West Municipal,0,0,5.6844172,-0.2537157,0,0,1,0,0,0,1,0,0
204,https://tonaton.com/a-MfYFNdCgmcIb9dDqm77o8AG31uU8eh2x-3bdrm-apartment-in-tseaddo-for-rent.html,rentals,3bdrm Apartment in Tseaddo for rent,24000.0,3,3,1000.0,"Greater Accra, Teshie, Tseaddo","24-hour Electricity,Air Conditioning,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Greater Accra,Teshie,0,1,5.5862504,-0.1394584,0,0,1,0,0,0,1,0,0
205,https://tonaton.com/a-MfYFNdCgj828KVrDUxb7guyX0msPLSYh-2bdrm-duplex-in-new-dawhenya-ars-tema-metropolitan-for-rent.html,rentals,"2bdrm Duplex in New Dawhenya Ars, Tema Metropolitan for Rent",1200.0,2,2,70.0,"Greater Accra, Tema Metropolitan","24-hour Electricity,Pre-Paid Meter,Tiled Floor,Kitchen Cabinets,Dining Area,Pop Ceiling",Greater Accra,Tema Metropolitan,0,0,5.6563118,-0.0093266,0,1,0,0,0,0,0,0,1
206,https://tonaton.com/a-MfYFNdCgKbSXvGcEI3G8l9ipSwOwblZl-2bdrm-apartment-in-coastal-spintex-for-rent.html,rentals,"2bdrm Apartment in Coastal, Spintex for rent",1800.0,2,3,4981.0,"Greater Accra, Spintex","24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Wi-Fi",Greater Accra,Spintex,0,0,5.6376136,-0.1266064,0,0,1,0,0,0,1,0,0
207,https://tonaton.com/a-MfYFNdCh1APODhxXMSn6jOVYiXkSzaKt-1bdrm-apartment-in-lashibi-for-rent.html,rentals,1bdrm Apartment in Lashibi for rent,1400.0,1,1,75.0,"Greater Accra, Ashaiman Municipal, Lashibi","Apartment,Balcony,Kitchen Cabinets,Pre-Paid Meter,Tiled Floor",Greater Accra,Ashaiman Municipal,0,0,5.6847539,-0.0379152,0,0,1,0,0,0,0,0,1
208,https://tonaton.com/a-MfYFNdCglENfgYE9zSXIfFlIWdehTy1m-1bdrm-apartment-in-sarkumonor-estate-spintex-for-rent.html,rentals,"1bdrm Apartment in Sarkumonor Estate, Spintex for rent",1200.0,1,1,4999.0,"Greater Accra, Spintex","24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Wi-Fi",Greater Accra,Spintex,0,0,5.6376136,-0.1266064,0,0,1,0,0,0,0,0,1
